#Types Before Cut: 11091
#Types After Cut: 9790
#Search Hits: 0
386	8	18.300	смотрела
387	8	18.300	студентов
388	8	18.300	типо
389	8	18.300	умер
390	8	18.300	учился
391	8	18.300	учится
392	8	18.300	хе
393	8	18.300	эт
394	78	17.980	больше
395	12	17.502	вдруг
396	12	17.502	нравятся
397	12	17.502	смешно
398	50	17.469	день
399	16	17.384	девять
400	16	17.384	реально
401	10	16.941	вкус
402	10	16.941	народ
403	10	16.941	пол
404	10	16.941	пришла
405	10	16.941	рассказывала
406	22	16.756	какую
407	20	16.732	друг
408	13	16.597	другую
409	13	16.597	твои
410	13	16.597	улице
411	28	16.284	совсем
412	36	16.115	одна
413	27	16.103	слова
414	14	16.025	надеюсь
415	14	16.025	хотелось
416	7	16.013	бабушкой
417	7	16.013	боже
418	7	16.013	готовили
419	7	16.013	двери
420	7	16.013	детство
421	7	16.013	детьми
422	7	16.013	ездить
423	7	16.013	ехали
424	7	16.013	живёт
425	7	16.013	забыла
426	7	16.013	задание
427	7	16.013	карл
428	7	16.013	квартиры
429	7	16.013	красивый
430	7	16.013	лагеря
431	7	16.013	ненавижу
432	7	16.013	нету
433	7	16.013	ноль
434	7	16.013	одни
435	7	16.013	понравилась
436	7	16.013	пошёл
437	7	16.013	ребят
438	7	16.013	секунд
439	7	16.013	скажи
440	7	16.013	сорок
441	7	16.013	супер
442	7	16.013	троих
443	7	16.013	троллейбус
444	7	16.013	улица
445	7	16.013	человечек
446	7	16.013	чё
447	24	15.626	чуть
448	11	15.535	будто
449	11	15.535	отец
450	11	15.535	пошел
451	11	15.535	скажем
452	11	15.535	считаю
453	29	15.418	сама
454	113	15.302	даже
455	17	15.285	давайте
456	18	15.217	е
457	18	15.217	фильм
458	19	15.204	говоря
459	19	15.204	хотел
460	9	14.854	берут
461	9	14.854	брали
462	9	14.854	друзей
463	9	14.854	жил
464	9	14.854	институте
465	9	14.854	маленькая
466	9	14.854	смеется
467	9	14.854	танцами
468	9	14.854	твоя
469	26	14.807	самое
470	12	14.740	делали
471	12	14.740	купить
472	12	14.740	семье
473	30	14.654	чего
474	153	14.388	еще
475	23	14.274	равно
476	13	14.257	бывает
477	13	14.257	смотреть
478	13	14.257	специально
479	13	14.257	спокойно
480	13	14.257	языка
481	21	13.984	долго
482	40	13.975	говорить
483	14	13.961	вещи
484	6	13.725	distinct
485	6	13.725	onion
486	6	13.725	part
487	6	13.725	автобус
488	6	13.725	автобусе
489	6	13.725	ам
490	6	13.725	антифриз
491	6	13.725	бабуля
492	6	13.725	бешбармак
493	6	13.725	бутово
494	6	13.725	вау
495	6	13.725	верно
496	6	13.725	восемнадцать
497	6	13.725	выпускной
498	6	13.725	вышла
499	6	13.725	гончар
500	6	13.725	готовился
501	6	13.725	думали
502	6	13.725	жигули
503	6	13.725	загрузили
504	6	13.725	закончила
505	6	13.725	запомнила
506	6	13.725	играли
507	6	13.725	идёт
508	6	13.725	ка
509	6	13.725	колесо
510	6	13.725	коллектив
511	6	13.725	кормила
512	6	13.725	красиво
513	6	13.725	лагере
514	6	13.725	лингвистике
515	6	13.725	литературу
516	6	13.725	лук
517	6	13.725	любил
518	6	13.725	любимый
519	6	13.725	математике
520	6	13.725	мгм
521	6	13.725	мем
522	6	13.725	молодец
523	6	13.725	мужчина
524	6	13.725	написала
525	6	13.725	немец
526	6	13.725	ногой
527	6	13.725	обед
528	6	13.725	орешки
529	6	13.725	погрей
530	6	13.725	подумала
531	6	13.725	покупайте
532	6	13.725	польский
533	6	13.725	понравился
534	6	13.725	поступил
535	6	13.725	преподаватели
536	6	13.725	причём
537	6	13.725	пятёрка
538	6	13.725	саш
539	6	13.725	семьдесят
540	6	13.725	слышно
541	6	13.725	снимали
542	6	13.725	снимать
543	6	13.725	спал
544	6	13.725	спрашивают
545	6	13.725	спросить
546	6	13.725	страшно
547	6	13.725	сынок
548	6	13.725	убирай
549	6	13.725	учителей
550	6	13.725	учителем
551	6	13.725	худи
552	6	13.725	шёл
553	6	13.725	щас
554	6	13.725	этаж
555	6	13.725	эх
556	18	13.709	разных
557	17	13.683	разные
558	10	13.597	мной
559	10	13.597	написано
560	25	13.541	лучше
561	73	13.162	поэтому
562	11	12.917	знаете
563	11	12.917	писала
564	8	12.789	дверь
565	8	12.789	паре
566	8	12.789	работала
567	8	12.789	смотрел
568	8	12.789	сто
569	8	12.789	ходят
570	45	12.700	эту
571	20	12.618	каких
572	18	12.350	каким
573	18	12.350	сначала
574	13	12.304	девочка
575	13	12.304	завтра
576	13	12.304	минус
577	17	12.252	кем
578	16	12.186	видео
579	16	12.186	наша
580	16	12.186	семь
581	40	11.920	эта
582	50	11.788	него
583	9	11.691	видел
584	9	11.691	мое
